epoch,Train_loss,Test_loss,Train_f1_score,Test_f1_score
1,0.10361386090517044,0.01768006570637226,0.8376928828757868,0.8111808218309906
2,0.05527988821268082,0.2050420492887497,0.8572966712049878,0.8241704217281755
3,0.07291114330291748,0.04331345111131668,0.8719704557267525,0.805338468273392
4,0.016282860189676285,0.0282258503139019,0.8654218997883284,0.8218440771134583
5,0.07021720707416534,0.009016661904752254,0.8693471906216584,0.827154613913711
6,0.12371104955673218,0.2105596661567688,0.8678532071220209,0.8267094774003592
7,0.046321284025907516,0.07975313812494278,0.8729896630772052,0.8219701925375339
8,0.00606896635144949,0.39847883582115173,0.8788585305623171,0.8251464666263822
9,0.05251511186361313,0.030442330986261368,0.8701088119470309,0.8239236727854243
10,0.028767745941877365,0.008702384307980537,0.8816599520330648,0.8248318696894325
11,0.15736904740333557,0.07213689386844635,0.8837400063645069,0.8312507229388574
12,0.24649539589881897,0.021470902487635612,0.879942662223535,0.8279250661924082
13,0.14925885200500488,0.0029151183553040028,0.8850079891777459,0.8219033130003063
14,0.17712607979774475,0.17461881041526794,0.8824287840017905,0.8270234160982195
15,0.01450386643409729,0.18946072459220886,0.8949838479648987,0.8188337873646037
16,0.01565662957727909,0.031367041170597076,0.899175083021373,0.8297663184120716
17,0.055291082710027695,0.03186529502272606,0.8970597669568128,0.8287981316206183
18,0.038879990577697754,0.11248330026865005,0.8980691582528002,0.8244986356757888
19,0.04639865458011627,0.12174542248249054,0.9042280047562878,0.8258427039139705
20,0.0954657718539238,0.05993305519223213,0.9111017217373872,0.8251619017995526
21,0.014853907749056816,0.11929474771022797,0.91097234511077,0.825050224973162
22,0.008147213608026505,0.4758497476577759,0.9068165384448922,0.8245733498682141
23,0.022280918434262276,0.0032926579006016254,0.9148566955902426,0.8329456985076248
24,0.0008051021723076701,0.012190775945782661,0.9221769629617647,0.8421576917593298
25,0.04362957924604416,0.08912689983844757,0.9257096441143714,0.8294342527663863
